donor,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
(IMF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10338154614.21,71459108.61,28196365323.94,8792842494.44,7768072691.8,6927956535.48,4622315726.05,5135107107,14629297478.41,2012525125.16,8929893658.34,8185388790.97,3432596482.97,6029012027.03,17637842278.9,17044874646.5,30844579740.87,26576289153.56,26404006412.2,12173264958.4,62296608621.02,84302806823.77,26719851557.83,1376221247.99,6896396145.08,412946952.51,607079636.67,19357194361.24,42309835887.28,,
IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254979808.35,348902546.1,420747099.43,416874934.09,467029025.38,536618023.02,671191009.97,800982665.09,862353838.05,697068763.58,,
(ISDB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86614857.13,518915389.68,1120092059.09,556882392.98,2422734100.61,313167530.32,1806777175.06,2538691982.16,2405199754.33,2286602698.57,1488362644.88,1590016493.49,1605629701.12,1659371825.49,1774800274.87,2273495928.61,1530546194.09,1738708598.77,1444478911.4,1484870882.88,1654513296.67,1767837168.1,2385638577.32,2562629176.14,3716391430.35,3893125264.18,4452199514.51,3943122642.89,4430940979.58,2876373884.92,2177757067.43,2453969820.58,2427429591.63,,,
ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,854420933.97,58025570.83,161817889.93,109174427.99,61838040.74,,,85176728.73,880378675.61,828570480.46,1612418164.43,1561891168.43,1395659884.87,2366319345.32,5429053303.98,4246173680.9,3713948961.98,2515849016.28,3412466808.53,3444241538.14,1951055531.24,2196977864.18,4580556931.37,1067783521.86,2482258262.14,1318866980.6,1423701740.35,1586971355.99,1253116807.43,2198278425.23,1976573766.11,3700334604.49,3330309264.65,3005176919.36,1537236457.24,2295933612.03,1147866279.34,,
JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,4656243829.82,6804190155.23,4936864371.17,3349041272.76,5932290830.46,4978933443.53,5816241756.41,7856275518.98,7397609124.67,8626333917.54,7346967429.32,8460773511.63,8676645122.05,5897594962.77,9060691575.35,14113469508.33,8627580021.87,12089965415.06,14842527767.89,12021949999.38,13379847570.97,10550894632.91,14179607052.9,19792406825.39,19985811653.35,20861378091.38,24906663658.66,11964346451.48,11744632612.55,10467516985.13,18647679124.3,14550709683.64,19161789299.17,17340742309.69,19428628991.05,17520247105.53,14650929479.05,,
(UNAIDS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132727053.44,94609137.14,163926758.06,158592448.2,140900018.37,199812112.87,197470348.46,203195169.15,243016870,,
KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900729366.96,2583743924.62,3127373225.42,3417762082,,
KWT,,,,,,,,,,,,,,,,920478478.05,426226742.41,1131373187.8,110386007.87,796339533.54,780509749.6,301603925.07,190585495.67,63167463.33,621663005.77,838450611.82,758939122.73,712998602.49,1607153635.39,1547780690,1797452602.08,876007482.67,1112207412.03,578719481.95,1470586554.17,1523596623.41,868972786.18,668247403.76,506491931.99,929641957.73,696202243.75,678662975.03,867506549.87,1227597124.99,921324047.27,1077498008,1723359298.74,741037244.5,1778234444.89,1403504453.64,1062736628.28,1465193619.59,1579540183.96,825939024.32,1184120067.34,1509369446.06,668592988.52,935440582.88,1149469018.79,596320443.21,704288624.32,646379828.93,487412913.43,290064007.67,
LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237353.13,295496.98,740685.82,1075708.98,17790.53,21883.48,
