donor,recipient,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,57284.31,,,,,,88610.9,,,873547.18,42241.84,,176364.41,,,3360349.6,5735358.72,4317425.64,853234.83,671447.11,787228.12,1408686.72,1132493.08,2080552.75,,,,,,138194.7,212190.93,1907.36,,256022.98,59023.98,481926.14,1009979.6,,
AUS,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20115.16,,,,,,,,,,,,,,,,158168.72,131502.96,128543.53,206741.07,595817.29,320436.01,248369.34,248957.48,270349.62,288453.95,126084.81,,
AUS,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7557534.91,4162402.34,178469.75,158464.48,1053047.79,,,,,,,,,
AUS,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13087.64,,,,,,,,,,,
AUS,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,28642.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,2405940.9,4958772.19,,,,,18200678.74,13131663.25,2729016.82,1991687.58,7297780.21,,,,1935652.1,,,2588164.98,625538.73,20571150.05,19814152.21,12207003.23,35480034.82,69226723.08,23279061.83,34573421.98,57251847.65,44525882.25,59434646.08,15972922.55,21337313.19,43270305.58,25992033.8,24170138.66,20417273.24,32433939.16,49424074.98,,
AUS,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264697.33,,,,,
AUS,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,102293.41,,,,,,,,,,,,,,,,,,,,,,,,,,,89199.87,,,19469.87,46730.25,6616486.11,172103.12,217975.56,,,,
AUS,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61219.95,,130825.79,24125.05,,25876.73,42915.54,72136.69,193632.84,40104.79,99864.47,199934.38,,
AUS,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5665888.86,,,,25382077.87,1039077.38,419365.21,1092620.14,21088853.29,72085214.62,35359447.48,44779305.33,103930027.61,110853833.5,52097055.93,26717512.42,46245483.3,34925785.09,49765461.01,130582597.18,119283380.42,14511274.17,50637065.63,9882017.68,15329501.64,11387426.33,33796514.83,54638985.68,27742812.24,,
